Date,IBM,APPL,TSLA,GOOGL,NVDA,REND IBM,REND APPL,REND TSLA,REND GOOGL,REND NVDA,RF,REND PORT,REND EXCES,NEG REND EX,,,,,,,
02/01/2019,85.522614,37.845043,20.674667,52.734001,33.790478,,,,,,,,,,,,,,,,
03/01/2019,83.815285,34.075397,20.024,51.273499,31.74896,-2.00%,-9.96%,-3.15%,-2.77%,-6.04%,0.03%,-5.10%,-5.13%,-5.13%,0.26%,0.09%,,0.24%,,,
04/01/2019,87.088913,35.530056,21.179333,53.9035,33.783031,3.91%,4.27%,5.77%,5.13%,6.41%,0.03%,6.15%,6.12%,,,,,,,,
07/01/2019,87.705032,35.45097,22.330667,53.796001,35.571533,0.71%,-0.22%,5.44%,-0.20%,5.29%,0.03%,5.18%,5.16%,,,,,8.00%,SORTINO,,
08/01/2019,88.952118,36.126774,22.356667,54.268501,34.685966,1.42%,1.91%,0.12%,0.88%,-2.49%,0.03%,-1.56%,-1.58%,-1.58%,0.03%,,,,,,
09/01/2019,89.590508,36.740276,22.568666,54.0825,35.368134,0.72%,1.70%,0.95%,-0.34%,1.97%,0.03%,1.61%,1.58%,,,,,,,,
10/01/2019,90.407082,36.8577,22.997999,53.941502,36.025486,0.91%,0.32%,1.90%,-0.26%,1.86%,0.03%,1.83%,1.80%,,,,,,,,
11/01/2019,90.162094,36.495834,23.150667,53.223499,36.918491,-0.27%,-0.98%,0.66%,-1.33%,2.48%,0.03%,1.81%,1.79%,,,,,,,,
14/01/2019,89.367828,35.947037,22.293333,52.5755,37.317871,-0.88%,-1.50%,-3.70%,-1.22%,1.08%,0.03%,-0.48%,-0.51%,-0.51%,0.00%,,,,PESOS,,
15/01/2019,90.362534,36.682758,22.962,54.3255,37.176468,1.11%,2.05%,3.00%,3.33%,-0.38%,0.03%,0.75%,0.73%,,,,,IBM ,1.00%,>=,0.01
16/01/2019,90.280869,37.130901,23.07,54.475498,36.920971,-0.09%,1.22%,0.47%,0.28%,-0.69%,0.03%,-0.29%,-0.32%,-0.32%,0.00%,,,APPL,1.00%,>=,0.01
17/01/2019,90.703995,37.351368,23.153999,54.956001,37.635376,0.47%,0.59%,0.36%,0.88%,1.93%,0.03%,1.41%,1.38%,,,,,TSLA,31.25%,>=,0.01
18/01/2019,91.913994,37.581436,20.150667,55.365002,38.927757,1.33%,0.62%,-12.97%,0.74%,3.43%,0.03%,-1.77%,-1.79%,-1.79%,0.03%,,,GOOG,1.00%,>=,0.01
22/01/2019,90.948959,36.737877,19.927999,53.931499,36.903603,-1.05%,-2.24%,-1.11%,-2.59%,-5.20%,0.03%,-3.82%,-3.85%,-3.85%,0.15%,,,NVDA,65.75%,>=,0.01
23/01/2019,98.646812,36.886444,19.172667,54.220501,37.0326,8.46%,0.40%,-3.79%,0.54%,0.35%,0.03%,-0.86%,-0.89%,-0.89%,0.01%,,,,=,,
24/01/2019,98.379578,36.594086,19.434,54.200001,39.153488,-0.27%,-0.79%,1.36%,-0.04%,5.73%,0.03%,4.18%,4.15%,,,,,,100%,=,1
25/01/2019,99.448532,37.806698,19.802668,55.0755,39.726509,1.09%,3.31%,1.90%,1.62%,1.46%,0.03%,1.62%,1.59%,,,,,,,,
